country,total_cases,new_cases,total_death,new_death,total_recovered,population
USA,6486438,+863,193587 ,+53,3758639,331367517 
India,4284103,+6519,72843 ,+27,3324060,1382530286 
Brazil,4147794,,127001 ,,3355564,212842596 
Russia,1035789,+5099,17993 ,+122,850049,145946376 
Peru,691575,,29976 ,,522251,33056487 
Colombia,671848,,21615 ,,529279,50983652 
South Africa,639362,,15004 ,,566555,59446940 
Mexico,637509,+3486,67781 ,+223,446715,129184522 
Spain,525549,,29516 ,,N/A,46758226 
Argentina,488007,,10179 ,+50,366590,45273109 
Chile,424274,,11652 ,,395717,19146844 
Iran,391112,+2302,22542 ,+132,337414,84191615 
UK,350100,,41554 ,,N/A,67953144 
Bangladesh,329251,+1892,4552 ,+36,227809,164994746 
France,328980,,30726 ,,87836,65300897 
Saudi Arabia,322237,+781,4137 ,+30,298246,34913354 
Pakistan,299233,+330,6350 ,+5,286157,221671477 
Turkey,281509,,6730 ,,252152,84507634 
Italy,278784,,35553 ,,210238,60444825 
Iraq,264684,,7589 ,,202859,40385131 
Germany,254168,+543,9407 ,+2,227000,83834622 
Philippines,241987,+3260,3916 ,+26,185178,109850251 
Indonesia,200035,+3046,8230 ,+100,142958,274061093 
Ukraine,140479,+2411,2934 ,+57,63546,43683007 
Israel,135288,+1313,1031 ,+5,106297,9197590 
Canada,132142,,9146 ,,116459,37803923 
Bolivia,121604,+835,7054 ,+46,73150,11702383 
Qatar,120348,,205 ,,117241,2807805 
Ecuador,110092,,10576 ,,91242,17692261 
Kazakhstan,106425,+64,1588 ,,99893,18818299 
Egypt,100041,,5541 ,,79008,102685534 
Dominican Republic,99898,,1864 ,,73228,10868152 
Panama,97578,,2099 ,,70247,4327225 
Romania,97033,+1136,3967 ,+41,40838,19212864 
Kuwait,91244,+857,548 ,+2,81654,4282183 
Belgium,88769,+402,9909 ,+2,18576,11599139 
Oman,87590,+262,742 ,+8,82973,5129838 
Sweden,85707,,5838 ,+4,N/A,10111092 
Guatemala,77828,,2862 ,,66584,17975915 
Netherlands,76548,+964,6244 ,+1,N/A,17142061 
UAE,74454,,390 ,,66533,9912524 
Morocco,73780,,1394 ,,56096,36991599 
Belarus,73208,+177,721 ,+5,71883,9448730 
Japan,71856,,1363 ,,62536,126402156 
Poland,71526,+400,2136  ,+12,55910,37838691 
Honduras,64814,+50,2023 ,+16,13828,9933487 
Portugal,60507,,1843 ,,43016,10191005 
Ethiopia,59648,,933 ,,21789,115473464 
Singapore,57091,+47,27 ,,56408,5858949 
Bahrain,56076,,202 ,+2,51240,1711870 
Nigeria,55160,,1061 ,,43231,207054356 
Venezuela,54350,,436 ,,43753,28420486 
Costa Rica,48780,,510 ,,19083,5102793 
Nepal,48138,+902,306 ,+6,32964,29232364 
Algeria,46653,,1562 ,,32985,43995401 
Ghana,45012,+143,283 ,,43898,31190307 
Armenia,44953,+108,903 ,+3,40592,2964294 
Switzerland,44837,+245,2016 ,+2,37700,8666478 
Kyrgyzstan,44487,+29,1060 ,,40092,6543898 
Uzbekistan,44107,+214,356 ,+4,41594,33558454 
Moldova,40055,,1074 ,,28578,4032167 
Afghanistan,38520,+26,1418 ,+3,30715,39086286 
Azerbaijan,37557,+139,552 ,+1,34965,10156225 
Kenya,35205,,599 ,,21310,53984957 
Serbia,31994,+53,727 ,+2,30637,8730602 
Austria,30081,+520,747 ,+1,25629,9016062 
Ireland,29774,,1777 ,,23364,4948020 
Czechia,28716,,437 ,,19855,10712751 
Palestine,27363,+584,190 ,+6,17779,5122736 
El Salvador,26511,+98,765 ,+1,16462,6492369 
Australia,26374,+52,770 ,+8,22724,25554723 
Paraguay,23353,,449 ,,11524,7148749 
Bosnia and Herzegovina,21961,+301,669 ,+5,15172,3276875 
S. Korea,21432,+136,341 ,+5,16636,51277577 
Lebanon,20826,,200 ,,6430,6819561 
Cameroon,19604,,415 ,,18448,26664138 
Libya,18834,,296 ,,2126,6888524 
Ivory Coast,18701,,119 ,,17599,26495233 
Denmark,18356,+243,628 ,,15907,5796058 
Bulgaria,17146,,677 ,,12189,6938307 
Madagascar,15435,+83,206 ,+4,14219,27818152 
North Macedonia,15226,+99,631 ,+8,12700,2083358 
Senegal,14014,,291 ,,10037,16822587 
Sudan,13437,,833 ,,6730,44033287 
Zambia,12836,,295 ,,11748,18475317 
Croatia,12285,+204,203 ,+2,9553,4100375 
Greece,11663,,289 ,,3804,10413243 
Norway,11560,+39,264 ,,9348,5429172 
Albania,10406,,319 ,,6186,2877197 
DRC,10292,+59,260 ,,9501,90041319 
Guinea,9816,,62 ,,8956,13196163 
Malaysia,9559,+100,128 ,,9136,32442628 
French Guiana,9355,,62 ,,8902,300064 
Hungary,9304,+341,626 ,+1,3972,9655649 
Tajikistan,8860,+36,70 ,,7650,9576244 
Namibia,8810,,91 ,,3806,2549293 
Maldives,8667,,29 ,,6052,542282 
Gabon,8608,,53 ,,7533,2235168 
Haiti,8376,+14,214 ,,5991,11428254 
Finland,8337,+10,336 ,,7350,5542355 
Zimbabwe,7298,,210 ,,5455,14902728 
Mauritania,7165,,160 ,,6681,4671450 
Luxembourg,6960,,124 ,,6256,627843 
Montenegro,5659,,109 ,,4272,628081 
Malawi,5621,,176 ,,3590,19218201 
Djibouti,5388,,61 ,,5327,990643 
Tunisia,5124,,94 ,,1788,11841606 
Equatorial Guinea,4985,,83 ,,4454,1411052 
Hong Kong,4896,+6,99 ,+1,4543,7508352 
Congo,4891,,102 ,,3887,5542416 
Eswatini,4884,,94 ,,4029,1162397 
CAR,4729,,62 ,,1818,4845103 
Slovakia,4727,+91,37 ,,2913,5460145 
Nicaragua,4668,,141 ,,2913,6639152 
Mozambique,4557,,27 ,,2697,31410820 
Rwanda,4409,,19 ,,2271,13009703 
Suriname,4360,,91 ,,3544,587613 
Cabo Verde,4358,,42 ,,3790,557108 
Cuba,4352,,102 ,,3642,11325297 
Uganda,3776,,44 ,,1741,45994760 
Thailand,3446,+1,58 ,,3284,69833165 
Mayotte,3374,,40 ,,2964,273996 
Somalia,3362,,97 ,,2696,15971929 
Syria,3229,,137 ,,744,17576878 
Gambia,3197,,99 ,,1315,2428713 
Slovenia,3190,,135 ,,2530,2078992 
Jamaica,3183,+80,34 ,+1,974,2963605 
Lithuania,3131,+31,86 ,,1994,2714825 
Sri Lanka,3126,+3,12 ,,2926,21430194 
Angola,2981,,120 ,,1215,33046107 
Mali,2870,,127 ,,2246,20354106 
Estonia,2564,+32,64 ,,2195,1326705 
Bahamas,2546,,58 ,,976,393944 
South Sudan,2545,,48 ,,1290,11218042 
Aruba,2482,,15 ,,1244,106852 
Jordan,2478,,17 ,,1817,10221987 
Trinidad and Tobago,2277,,37 ,,734,1400345 
Réunion,2277,,13 ,,1313,896509 
Guinea-Bissau,2245,,38 ,,1127,1976355 
Benin,2213,,40 ,,1793,12179833 
Iceland,2143,,10 ,,2057,341659 
Botswana,2126,,9 ,,493,2360235 
Malta,2099,+23,14 ,,1729,441766 
Sierra Leone,2055,,71 ,,1611,8006379 
Yemen,1989,,573 ,,1201,29944463 
New Zealand,1782,+6,24 ,,1635,5002100 
Georgia,1729,+45,19 ,,1321,3987701 
Uruguay,1693,,45 ,,1466,3476006 
Myanmar,1610,+92,8 ,,388,54478228 
Guyana,1560,,47 ,,962,787267 
Cyprus,1510,,22 ,,1237,1209006 
Togo,1493,,33 ,,1114,8313592 
Burkina Faso,1463,,56 ,,1112,21005152 
Latvia,1432,+3,35 ,,1187,1882125 
Guadeloupe,1363,,18 ,,336,400137 
Liberia,1311,,82 ,,1190,5079039 
Belize,1307,,16 ,,314,398944 
Andorra,1261,,53 ,,934,77288 
Niger,1177,,69 ,,1091,24358512 
Lesotho,1148,,31 ,,528,2145425 
Vietnam,1054,+5,35 ,,868,97501966 
Chad,1040,,79 ,,919,16509342 
Sao Tome and Principe,898,,15 ,,859,219900 
French Polynesia,773,, ,,528,281213 
Martinique,758,,18 ,,98,375209 
San Marino,716,,42 ,,660,33945 
Diamond Princess,712,,13 ,,651, 
Channel Islands,628,,48 ,,575,174162 
Turks and Caicos,599,,5 ,,264,38814 
Sint Maarten,516,,19 ,,321,42966 
Tanzania,509,,21 ,,183,60035737 
Papua New Guinea,503,+6,5 ,,232,8977849 
Taiwan,495,+1,7 ,,475,23824956 
Burundi,466,,1 ,,374,11953313 
Comoros,452,,7 ,,410,872949 
Faeroe Islands,414,+1, ,,409,48898 
Mauritius,356,,10 ,,335,1272169 
Isle of Man,337,,24 ,,312,85118 
Eritrea,330,, ,,295,3555467 
Gibraltar,320,+5, ,,276,33689 
Mongolia,310,, ,,296,3287964 
Cambodia,274,, ,,273,16761610 
Saint Martin,239,,6 ,,79,38787 
Bhutan,233,+3, ,,151,773185 
Cayman Islands,205,,1 ,,204,65865 
Barbados,179,,7 ,,154,287442 
Bermuda,175,,9 ,,158,62234 
Monaco,153,,1 ,,102,39294 
Brunei ,145,,3 ,,139,438259 
Seychelles,137,, ,,127,98461 
Liechtenstein,107,,1 ,,97,38149 
Curaçao,102,,1 ,,45,164220 
Antigua and Barbuda,95,,3 ,,91,98081 
British Virgin Islands,63,,1 ,,10,30269 
St. Vincent Grenadines,62,+1, ,,58,111007 
Macao,46,, ,,46,650967 
Fiji,31,,2 ,,24,897662 
Timor-Leste,27,, ,,25,1323011 
New Caledonia,26,, ,,25,286009 
Saint Lucia,26,, ,,26,183785 
Grenada,24,, ,,24,112621 
Dominica,22,, ,,18,72020 
Laos,22,, ,,21,7294985 
Caribbean Netherlands,21,+3, ,,7,26268 
St. Barth,18,, ,,13,9883 
Saint Kitts and Nevis,17,, ,,17,53270 
Greenland,14,, ,,14,56789 
Montserrat,13,,1  ,,12,4993 
Falkland Islands,13,, ,,13,3498 
Vatican City,12,, ,,12,801 
Western Sahara,10,,1 ,,8,599970 
MS Zaandam,9,,2 ,,, 
Saint Pierre Miquelon,9,, ,,5,5789 
Anguilla,3,, ,,3,15028 
China,85144,+10,4634 ,,80335,1439323776 
total cases,27523224 
total death,897627
total recovered,19625008
